name,province,country,latitude,longitude,verification_status,coordinate_source
Crimson Hospital,Lumbini,Nepal,27.6338853,83.4702248,unverified,OSM
Rapti Sub Regional Hospital,Lumbini,Nepal,28.0375479,82.4920644,unverified,OSM
Nepalgunj Medical College,Lumbini,Nepal,28.1984277,81.6778671,unverified,OSM
Sushil Koirala Prakhar Cancer Hospital,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
Siddhababa Hospital and Research Center,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
R.C. Tharu Memorial City Hospital,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
Palpa Community Dialysis Center,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
Lamahi Community Dialysis Center,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
Karnali Academy of Health Science,Karnali,Nepal,29.324394,82.171234,unverified,OSM
Mid-Western Regional Hospital Surkhet,Karnali,Nepal,28.6062929,81.6010416,unverified,OSM
Seti Zonal Hospital,Sudurpaschim,Nepal,27.6730861,85.3596793,unverified,OSM
Mahakali Hospital,Sudurpaschim,Nepal,27.6730861,85.3596793,unverified,OSM
Ghodaghodi Hospital Pvt.Ltd,Sudurpaschim,Nepal,27.6730861,85.3596793,unverified,OSM
